mode,paperId,title,publicationDate,year,publicationTypes,fieldsOfStudy,influentialCitationCount
PRECISE,82f305d3cb1a82fb6d4a5fcabb4fda40cb2b05e0,"Federated Deep Learning for Cyber Security in the Internet of Things: Concepts, Applications, and Experimental Analysis",,,JournalArticle; Review,Computer Science,12
PRECISE,86337602a24dfdfb65f3c26a81bb3f1f417f36a4,A review paper on IDS classification using KDD 99 and NSL KDD dataset in WEKA,2017-07-01,2017,Conference; Review,Computer Science,12
PRECISE,9196214e8f81b4a6efda6c8891a6365bccf865df,Explainable Artificial Intelligence in CyberSecurity: A Survey,,,JournalArticle; Review,Computer Science,12
PRECISE,2925a374d23127cc58027b4437a3f1dea8f02844,A Survey of Distance and Similarity Measures Used Within Network Intrusion Anomaly Detection,,,JournalArticle; Review,Computer Science,11
PRECISE,6a0e4209529b827cd86a52a4766968001a3f187c,"Deep learning approaches for anomaly-based intrusion detection systems: A survey, taxonomy, and open issues",2020-02-01,2020,JournalArticle; Review,Computer Science,11
PRECISE,b6550136304974682bde7ca9b2a8e21c2ea91982,Evaluating Federated Learning for Intrusion Detection in Internet of Things: Review and Challenges,2021-08-02,2021,JournalArticle; Review,Computer Science,11
PRECISE,bfab9d89e492baa47b4fce6bc5d6be6e6def6842,Performance Analysis of Machine Learning Algorithms in Intrusion Detection System: A Review,,,Review,Computer Science,11
PRECISE,d09c60cd3e493923b63ae170ad1daaf9f6cb1a69,A review of KDD99 dataset usage in intrusion detection and machine learning between 2010 and 2015,2016-04-14,2016,JournalArticle; Review,Computer Science,11
PRECISE,0a9f0b436b610d4cef1a022ab6083ac2278dc7e2,Data preprocessing for anomaly based network intrusion detection: A review,2011-05-25,2011,JournalArticle; Review,Computer Science,10
PRECISE,310a06c774cfdef1f011a44920638ad52658c860,AI-Based Intrusion Detection Systems for In-Vehicle Networks: A Survey,2022-11-09,2022,JournalArticle; Review,Computer Science,10
PRECISE,3ba55ec932c20e95f21e1fef1471ab6a5767758b,"A critical review of intrusion detection systems in the internet of things: techniques, deployment strategy, validation strategy, attacks, public datasets and challenges",2021-03-08,2021,JournalArticle; Review,Computer Science,10
PRECISE,4c30d041c137948aa75e40912f14558234bf1ce2,A Survey on Machine Learning Techniques for Cyber Security in the Last Decade,,,JournalArticle; Review,Computer Science,10
PRECISE,5e2ef6abd77e9d3512e4f9ba694d7c6ad35c8db5,Explainable Artificial Intelligence Applications in Cyber Security: State-of-the-Art in Research,2022-08-31,2022,JournalArticle; Review,Computer Science,10
PRECISE,60913732461b3054f4a6b95869f2e14bc5137514,A survey on Intrusion Detection Systems and Honeypot based proactive security mechanisms in VANETs and VANET Cloud,2018-04-01,2018,JournalArticle; Review,Computer Science,10
PRECISE,b42590f5f9bf7802d453dbe89544f27cc3f1b058,Wireless Sensing for Human Activity: A Survey,2020-07-01,2020,JournalArticle; Review,Computer Science,10
PRECISE,ef9dbef4909964b78d948de321b60e43e4ea0105,"Cyber Security Intrusion Detection for Agriculture 4.0: Machine Learning-Based Solutions, Datasets, and Future Directions",2022-03-01,2022,JournalArticle; Review,Computer Science,10
PRECISE,082be2d2cef8cbc59b887680e767ffdc7bdfbda5,"A Survey of Honeypots and Honeynets for Internet of Things, Industrial Internet of Things, and Cyber-Physical Systems",2021-08-04,2021,JournalArticle; Review,Computer Science,9
PRECISE,26e67cf3155910f52c27846170cc7f8bbf3caf02,Survey of Network Intrusion Detection Methods From the Perspective of the Knowledge Discovery in Databases Process,2020-01-27,2020,JournalArticle; Review,Computer Science,9
PRECISE,422820179de6e740294f08652adef3608eb7449d,Intrusion Detection Systems for Intra-Vehicle Networks: A Review,2019-02-14,2019,JournalArticle; Review,Computer Science,9
PRECISE,48f2ab8184b9d6abaafc8ee23b292ae775f72128,Benchmarking of Machine Learning for Anomaly Based Intrusion Detection Systems in the CICIDS2017 Dataset,2021-02-03,2021,JournalArticle; Review,Computer Science,9
PRECISE,517e3d378692bde221dda5054bbae8a483d8d4f0,Survey of Intrusion Detection Systems towards an End to End Secure Internet of Things,2016-08-01,2016,JournalArticle; Conference; Review,Computer Science,9
PRECISE,68457bf1432b6667a8802d2d8c7ed9a145bede6a,"A Survey on Smart Agriculture: Development Modes, Technologies, and Security and Privacy Challenges",2021-02-01,2021,JournalArticle; Review,Business; Computer Science,9
PRECISE,6f5b87e38cfb4a47e3ac7988cca5612ccf0a2946,Detecting Cybersecurity Attacks in Internet of Things Using Artificial Intelligence Methods: A Systematic Literature Review,2022-01-10,2022,Review,,9
PRECISE,b1754f209110eb0dd13cf2ccf35b7f113b7e65ef,A Survey of Intrusion Detection Systems Leveraging Host Data,2019-11-14,2019,JournalArticle; Review,Computer Science,9
PRECISE,ea530e2a2511b04bea962a72b3e4504890a2a882,From Intrusion Detection to Attacker Attribution: A Comprehensive Survey of Unsupervised Methods,2018-07-12,2018,JournalArticle; Review,Computer Science,9
PRECISE,05f35907dd815c9a4d5b431a8367842f19b57830,The virtual network function placement problem,2015-08-06,2015,JournalArticle; Conference; Review,Computer Science,8
PRECISE,09f3f60a63a03b11c0135cb5fa5aa82365180a4f,"Internet of Things Applications, Security Challenges, Attacks, Intrusion Detection, and Future Visions: A Systematic Review",,,JournalArticle; Review,Computer Science,8
PRECISE,143a229923a60370ceb2ad55167cb12ce71d407a,"A Comprehensive Review of Cyber Security Vulnerabilities, Threats, Attacks, and Solutions",2023-03-11,2023,Review,Medicine,8
PRECISE,1d3273f5b7975ca41ee91008224717eb7b54966d,Performance Comparison and Current Challenges of Using Machine Learning Techniques in Cybersecurity,2020-05-15,2020,Review,Computer Science,8
PRECISE,24e1f94e0897f4ba0ae90834d589100dae5a9881,A Critical Review of Practices and Challenges in Intrusion Detection Systems for IoT: Toward Universal and Resilient Systems,2018-06-07,2018,JournalArticle; Review,Computer Science,8
PRECISE,62305fede0eb655d0fcd20ba86b119cc9df09ab5,Swarm intelligence in intrusion detection: A survey,2011-11-01,2011,JournalArticle; Review,Computer Science,8
PRECISE,6a43a28fb65baa6198edc9c42bb7d6741bc9fca3,Advanced Border Intrusion Detection and Surveillance Using Wireless Sensor Network Technology,2013-05-15,2013,Review,Computer Science,8
PRECISE,85617e640bc534f3bcd6e153bdf7ad37b455df57,Intrusion Detection Systems for Networked Unmanned Aerial Vehicles: A Survey,2018-06-01,2018,JournalArticle; Conference; Review,Computer Science,8
PRECISE,8fd8fe76b3fc76adb47b1f1597e2e182a8280225,Survey on SDN based network intrusion detection system using machine learning approaches,2018-01-12,2018,JournalArticle; Review,Computer Science,8
PRECISE,ad075b977c431be556c615d43159cf04a8b96419,Intelligent feature selection and classification techniques for intrusion detection in networks: a survey,2013-11-27,2013,JournalArticle; Review,Computer Science,8
PRECISE,b8a2fb97fb72725210ffd8af52446a88c88f072d,Deep Cybersecurity: A Comprehensive Overview from Neural Network and Deep Learning Perspective,2021-02-16,2021,JournalArticle; Review,Computer Science,8
PRECISE,bb1031b8fb91650e502397c69aa9ffa68341a084,Intrusion detection techniques in cloud environment: A survey,,,JournalArticle; Review,Computer Science,8
PRECISE,0278bbaf1db5df036f02393679d485260b1daeb7,Machine Learning Techniques for Anomaly Detection: An Overview,2013-10-18,2013,Review,Computer Science,7
PRECISE,16cfe78c63a185575b5a1260e06f0df80c193fa3,ROAD: The Real ORNL Automotive Dynamometer Controller Area Network Intrusion Detection Dataset (with a comprehensive CAN IDS dataset survey & guide),,,JournalArticle; Review,Computer Science,7
PRECISE,32062665fcb7e9e3825e4cc73846282155518e51,A Taxonomy of Network Threats and the Effect of Current Datasets on Intrusion Detection Systems,2020-06-04,2020,JournalArticle; Review,Computer Science,7
PRECISE,4abbd915b3ac89560f81324e6b7f9f8c9ee3d064,"A Survey on Regular Expression Matching for Deep Packet Inspection: Applications, Algorithms, and Hardware Platforms",2016-10-01,2016,JournalArticle; Review,Computer Science,7
PRECISE,4bf0fdf066bc9dff6a96b92738843e266ee57873,Taxonomy of Anomaly Based Intrusion Detection System: A Review,,,Review,Engineering,7
PRECISE,721be1fbf687927f3349bdb0ca17e51951cb4a3e,Intrusion Detection Systems,2011-03-22,2011,Review,Computer Science,7
PRECISE,7a21bfd3626420a8846803c2aa21c4f1edc72046,A Survey of CNN-Based Network Intrusion Detection,2022-08-15,2022,Review,,7
PRECISE,88cd352a02b017f8190686271594b62ca464b638,Cyber security meets artificial intelligence: a survey,2018-12-01,2018,JournalArticle; Review,Computer Science,7
PRECISE,c3043c6b56c3871eafe08a81ecb8b82f33b322ae,Adversarial Machine Learning Applied to Intrusion and Malware Scenarios: A Systematic Review,2020-02-18,2020,JournalArticle; Review,Computer Science,7
PRECISE,d2f7ee54b92876859dd3df53d7a1d4cf55983e02,Ensemble based collaborative and distributed intrusion detection systems: A survey,2016-05-01,2016,JournalArticle; Review,Computer Science,7
PRECISE,d33baaa621d61bb88bfffa1966ad01052e5d4b44,"Graph Mining: Laws, Tools, and Case Studies",2012-10-01,2012,Review,Computer Science,7
PRECISE,dce8d0fd2b91e00f834bf091e4fa51e03f8b83bb,"From Intrusion Detection to an Intrusion Response System: Fundamentals, Requirements, and Future Directions",2017-03-27,2017,JournalArticle; Review,Computer Science,7
PRECISE,e449b9b3fe04fe260731a3c74d2123bf6eaadf5b,A Review of Local Outlier Factor Algorithms for Outlier Detection in Big Data Streams,2020-12-29,2020,JournalArticle; Review,Computer Science,7
PRECISE,0fe9cda9e9d712e21b79936f781d67b621ae4419,Network Function Virtualization,2016-07-18,2016,JournalArticle; Review,Computer Science,6
PRECISE,1789af28ddac3eab9cf37f84146e48457f28ace3,Privacy and Security Issues in Deep Learning: A Survey,,,JournalArticle; Review,Computer Science,6
PRECISE,1bf6104035f311705ddf63e422dc12ea84aa2db6,A Survey of Random Forest Based Methods for Intrusion Detection Systems,2018-05-23,2018,JournalArticle; Review,Computer Science,6
PRECISE,1fd99d0cea1709e6c81a5215d60da20941e5a1bb,False alarm minimization techniques in signature-based intrusion detection systems: A survey,2014-08-01,2014,JournalArticle; Review,Computer Science,6
PRECISE,2a1352460aa9fb73172e4dbfe2647fcca17a2640,"A Review of Attacks, Vulnerabilities, and Defenses in Industry 4.0 with New Challenges on Data Sovereignty Ahead",2021-07-30,2021,Review; JournalArticle,Computer Science; Medicine,6
PRECISE,2aef2419a63d18cc88096ebbe8e7a74c76a68bef,A Review of Intrusion Detection System using Machine Learning Approach,,,Review,,6
PRECISE,2f0aa72039cc72a5bf8a4cd66ec468eeb1d3d534,A Comparative Study of Off-Line Deep Learning Based Network Intrusion Detection,2018-07-01,2018,JournalArticle; Conference; Review,Computer Science,6
PRECISE,2fd5f829cee0f02b8a147c7d4933e16d32000aad,Intrusion Detection Protocols in Wireless Sensor Networks Integrated to Internet of Things Deployment: Survey and Future Challenges,,,JournalArticle; Review,Computer Science,6
PRECISE,3c08b7343cb47b80bd6e031f3aac29cba22a5a13,Deep Learning in Intrusion Detection Systems,2018-12-01,2018,Review,Computer Science,6
PRECISE,40a174543353719e3c52a6f65cdb1f6760c94ecb,A Comprehensive Survey of Databases and Deep Learning Methods for Cybersecurity and Intrusion Detection Systems,2020-05-26,2020,JournalArticle; Review,Computer Science,6
PRECISE,4b6c4836d57f21b5ef09aa460838c157ff676965,"Internet of Things: Evolution, Concerns and Security Challenges",2021-03-01,2021,JournalArticle; Review,Medicine; Computer Science,6
PRECISE,4d668deb2f5dfb5b888104439dd14ea86167c651,A survey of intrusion detection systems based on ensemble and hybrid classifiers,2017-03-01,2017,JournalArticle; Review,Computer Science,6
PRECISE,4de4eab135d11b22ad4faebf231c1c0c1e325edc,Intrusion detection system for automotive Controller Area Network (CAN) bus system: a review,2019-07-19,2019,JournalArticle; Review,Computer Science,6
PRECISE,4f369f2f31ab41a90352470cd32caffce4939812,A survey of intrusion detection in wireless network applications,2014-04-01,2014,JournalArticle; Review,Computer Science,6
PRECISE,51b28f903b99b1530a5af89c7da0df40bb9ef580,Mobile Security: A Look Ahead,,,JournalArticle; Review,Computer Science,6
PRECISE,6cf4e1a24aeccf041c57e0c6d3862c2789dbb972,Explainable artificial intelligence for cybersecurity: a literature survey,2022-10-26,2022,JournalArticle; Review,Computer Science,6
PRECISE,8623804372cb6909c3ee090c378adbbeb188d7e0,Alert correlation in collaborative intelligent intrusion detection systems - A survey,2011-10-01,2011,JournalArticle; Review,Computer Science,6
PRECISE,965b556ec532a5b7af539ca8aef9ec5a140c379a,"AMI threats, intrusion detection requirements and deployment recommendations",2012-12-01,2012,JournalArticle; Conference; Review,Computer Science; Engineering,6
PRECISE,bbba8f0b786e30416df85d915b216e4acda39603,The Threat of Adversarial Attacks against Machine Learning in Network Security: A Survey,2019-11-06,2019,JournalArticle; Review,Computer Science,6
PRECISE,d60fa3d31e6b7802a5f7fbf6b73d4368271bf251,Survey of Routing Attacks and Countermeasures in Mobile Ad Hoc Networks,2013-04-10,2013,Conference; Review,Computer Science,6
PRECISE,ed17a5d6d5acbbfbdfadbb50f3242204ac6bd0e3,Survey of Machine Learning Based Intrusion Detection Methods for Internet of Medical Things,2022-02-19,2022,JournalArticle; Review,Computer Science,6
PRECISE,234b4d0309e06ea41b7b90bffebb5437ed4093d8,Machine Learning and Deep Learning Approaches for CyberSecurity: A Review,,,JournalArticle; Review,Computer Science,5
PRECISE,29193749c3434e84a54f348982aa211800435409,"Cyber security methods for aerial vehicle networks: taxonomy, challenges and solution",2018-02-26,2018,JournalArticle; Review,Computer Science,5
PRECISE,2fba3544fd963cdf9e5c88658696750a2f4024df,"A Taxonomy and Survey of Intrusion Detection System Design Techniques, Network Threats and Datasets",2018-06-09,2018,JournalArticle; Review,Computer Science,5
PRECISE,336a1191f66311f393e483f99d4ab21459f22b77,A review of security attacks on IEC61850 substation automation system network,2014-11-01,2014,Conference; Review,Computer Science,5
PRECISE,3427522b894dc0b6ef26c221f1b1675e91561a4f,A Review of Tabular Data Synthesis Using GANs on an IDS Dataset,2021-09-14,2021,JournalArticle; Review,Computer Science,5
PRECISE,3d16c51496c85e92d69d38be2ae7a903a6f0550e,Comparative Evaluation of AI-Based Techniques for Zero-Day Attacks Detection,2022-11-28,2022,Review,,5
PRECISE,4396be15b35cc09dafbbaf78892e49ce7f613be0,Classification of localization algorithms for wireless sensor network: A survey,2012-12-01,2012,Conference; Review,Engineering,5
PRECISE,45c62857d4f2a3e7ecf8f0ac9ee3125f870e9034,A survey and taxonomy of the fuzzy signature-based Intrusion Detection Systems,2020-07-01,2020,JournalArticle; Review,Computer Science,5
PRECISE,537afba8865325dfd0a211a3a702affcd7b9d11e,A comprehensive survey and taxonomy of the SVM-based intrusion detection systems,,,JournalArticle; Review,Computer Science,5
PRECISE,6551d7739925bf177ac1fc8532ba11a923ea56bb,Machine Learning Based Intrusion Detection System,2023-05-21,2023,JournalArticle; Conference; Review,,5
PRECISE,66fc6467aec08ebb6047a3429a5c9ff6a8cceb90,Current trends in AI and ML for cybersecurity: A state-of-the-art survey,2023-10-25,2023,JournalArticle; Review,,5
PRECISE,6de07e7fdd519d734bd7dc00568f2ab16bd50725,"Healthcare 5.0 Security Framework: Applications, Issues and Future Research Directions",,,JournalArticle; Review,Computer Science,5
PRECISE,708f251c9bd446e71c36f5a58e6052e5ea1362f4,Bluetooth Low Energy Mesh Networks: Survey of Communication and Security Protocols,2020-06-01,2020,Review; JournalArticle,Computer Science; Medicine,5
PRECISE,70c121af9818efd7d3e1d2894f744392506adb88,Adversarial Robustness of Deep Neural Networks: A Survey from a Formal Verification Perspective,2022-06-24,2022,JournalArticle; Review,Computer Science,5
PRECISE,8cd1fb585547854c9a402ae10483d069fbab9c26,Smart Grid Cyber-Physical Situational Awareness of Complex Operational Technology Attacks: A Review,2022-10-08,2022,JournalArticle; Review,Computer Science,5
PRECISE,901ece211efe0c00e4296d281ccae59c3167e7fe,A Comprehensive Survey: Evaluating the Efficiency of Artificial Intelligence and Machine Learning Techniques on Cyber Security Solutions,,,JournalArticle; Review,Computer Science,5
PRECISE,9054e7d039920c486819a6115d5680fbe4b5f538,Addressing cybersecurity challenges in smart grid technologies: Implications for sustainable energy infrastructure,2024-06-13,2024,JournalArticle; Review,,5
PRECISE,97dd14f4a8310e3c1c8f34d467987e0c84fe4d74,Intrusion detection system in cloud environment: Literature survey & future research directions,2022-11-01,2022,JournalArticle; Review,Computer Science,5
PRECISE,b355307e85e0e0f5d98c177ef3540d00322b68f4,A survey of intrusion detection on industrial control systems,2018-08-01,2018,JournalArticle; Review,Computer Science,5
PRECISE,ba2684fadde45d367b7c3560c4d8ffbccde236b9,"Review of intrusion detection systems based on deep learning techniques: coherent taxonomy, challenges, motivations, recommendations, substantial analysis and future directions",2019-10-18,2019,JournalArticle; Review,Computer Science,5
PRECISE,bd6c67495463551f2f98dab623868c968e5e64b0,A Detailed Analysis of Benchmark Datasets for Network Intrusion Detection System,2021-04-14,2021,Review,Computer Science,5
PRECISE,c0fa578c1fae002e02834806a576d811002cb4a4,Deep Learning in Intrusion Detection System: An Overview,2016-06-01,2016,Review,Computer Science,5
PRECISE,c379614c0cb651514fb72361851830d56fa9a741,"Leveraging Machine Learning for Cybersecurity: Techniques, Challenges, and Future Directions",2024-11-09,2024,JournalArticle; Review,,5
PRECISE,d4115b652b295b93ea408cadc675d4eaa5f0df58,"A survey on intrusion detection system: feature selection, model, performance measures, application perspective, challenges, and future research directions",2021-07-01,2021,JournalArticle; Review,Computer Science,5
PRECISE,d4e8aed54dc4c6bed41651254a49d47885648142,"Adversarial attacks against intrusion detection systems: Taxonomy, solutions and open issues",2013-08-01,2013,JournalArticle; Review,Computer Science,5
PRECISE,d65e3ece0ec3badc3daf168b21c74bb280b927ac,The Insecurity of Wireless Networks,2012-07-01,2012,JournalArticle; Review,Computer Science,5
PRECISE,d77592edd28d14bc5387049e1c3598a3d27b6826,Feature Selection for High-Dimensional Data,2015-10-06,2015,Review,Computer Science,5
PRECISE,d90997d91d27f94b9358e8d4e6eaf460a9a9fa36,A Comparison of Outlier Detection Techniques for High-Dimensional Data,,,JournalArticle; Review,Computer Science,5
PRECISE,db25f5f2ffb15fb73930c70c58988712f10246b7,An analysis of various snort based techniques to detect and prevent intrusions in networks proposal with code refactoring snort tool in Kali Linux environment,2017-03-10,2017,Conference; Review,Engineering,5
