2025-09-28T01:07:08.447763+00:00 | POST https://api.semanticscholar.org/graph/v1/paper/batch?fields=paperId,title,abstract,year,publicationDate,referenceCount,citationCount,externalIds,isOpenAccess,openAccessPdf,journal,authors.authorId -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:08:44.259588+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/1fd99d0cea1709e6c81a5215d60da20941e5a1bb/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:08:49.522742+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/3c08b7343cb47b80bd6e031f3aac29cba22a5a13/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:08:53.836909+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/4b6c4836d57f21b5ef09aa460838c157ff676965/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:08:58.269338+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/4d668deb2f5dfb5b888104439dd14ea86167c651/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:09:03.691463+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/6cf4e1a24aeccf041c57e0c6d3862c2789dbb972/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:09:10.447838+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/29193749c3434e84a54f348982aa211800435409/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:09:17.372595+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/6551d7739925bf177ac1fc8532ba11a923ea56bb/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:09:24.632619+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/97dd14f4a8310e3c1c8f34d467987e0c84fe4d74/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:09:31.401435+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/d4e8aed54dc4c6bed41651254a49d47885648142/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:09:39.417461+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/29155d8d621b45ca59db229214027fce39f6f8ab/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:09:45.088197+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/5731b90a80d7ebb3dedeedaf3fc8977c110fef86/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:09:49.624736+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/5f116198797397ae890bd7543780b74285c545e1/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:09:54.644785+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/6b3f09231c8d5391528071cf3fceba3e79c9f7bc/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:09:59.825736+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/8d8a429beb3bd78960c1545a0df40bd85aba7cb7/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:10:07.877499+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/dfd03e0a154587e864d6d53d49e216738091aa30/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:10:14.433243+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/06dc30f2bde21841d4cd23dc0ece342382f22792/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:10:19.636636+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/16d3d35d313e8cdcd204f83d2b68e86673b36360/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:10:23.541444+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/16d3d35d313e8cdcd204f83d2b68e86673b36360/references?fields=citedPaper.year -> 429 (attempt 2); infinite retry after 3.5s
2025-09-28T01:10:31.977329+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/4d813aef94af6d7e1e3decae09c840fae0531579/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:10:35.827860+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/4d9053dc6bb587c6851cc7e440c0cfaf94390220/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:10:39.736070+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/4d9053dc6bb587c6851cc7e440c0cfaf94390220/references?fields=citedPaper.year -> 429 (attempt 2); infinite retry after 3.5s
2025-09-28T01:10:47.786216+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/692fb7c661cb83356d803b5013b1890eb1b1c838/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:10:55.138191+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/924ae49230c859f7ff27c6c29294b66f2373618f/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:11:02.536951+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/ba6cc65e8f8b9d8ad842724fe911e2f38b58f606/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:11:09.070780+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/e195d061b90b07cd4e2997346b185fa4a7dae656/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:11:12.728412+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/e195d061b90b07cd4e2997346b185fa4a7dae656/references?fields=citedPaper.year -> 429 (attempt 2); infinite retry after 3.5s
2025-09-28T01:11:21.480092+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/0e7af8e91b8cb2cea1164be5ac5d280b0d12c153/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:11:25.932953+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/c0387e788a52f10bf35d4d50659cfa515d89fbec/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:11:31.351506+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/fa11df1157486731afe86af7d6d9254a82d4dbd6/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:11:39.561183+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/78f7c6818c97383b5ae4b61664ffc6cde7974466/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:11:45.285370+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/4db2f23a5ad2259b90aa9b0545d27cd44337515a/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:11:49.116640+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/e467ff1ea3a0c535a0cef87f7e0daa414d524d9d/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:11:54.640913+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/16c1244bb58da1dead5db0ea5cff371e44bbd08e/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:12:00.923503+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/17750e76d4d3a33b1eada72f39238acd0246bd37/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:12:05.903846+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/25deaf0adeb9ea455a2f2d211ee86890eb64b69b/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:12:12.051224+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/463b5d0ddade077182fce105f95ead0213fe484d/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:12:19.084194+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/fc4dbff143839daec45c572c46bff76795c5d843/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:12:22.919710+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/0a77313fa10a864e14f538c73d417d7b4d6f320e/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:12:28.408682+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/8e2527113c652a25dad5a8af72a67f2d0bbb2706/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:12:35.625369+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/c42c29c793f3b8518a313d03fa101b1201a8ad14/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:12:41.982447+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/67f3df0846e89da5dfc7c25980d9189c7df50292/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:12:50.472188+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/2cf435278f4a3d44660d13e502b69bc0f1dbc539/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:12:55.775906+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/864fe713fd082585b67198ad7942a1568e536bd2/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:12:59.674990+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/864fe713fd082585b67198ad7942a1568e536bd2/references?fields=citedPaper.year -> 429 (attempt 2); infinite retry after 3.5s
2025-09-28T01:13:07.797633+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/c37480fd588ef464b741338738b7dbfddb045659/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:13:14.815287+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/35067cc8153b7e6270797fffaefc5c9cefdfe515/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:13:18.937695+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/6083bd8cdb810ce3d4f4bb9a004cac2a58b424eb/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:13:22.838185+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/6083bd8cdb810ce3d4f4bb9a004cac2a58b424eb/references?fields=citedPaper.year -> 429 (attempt 2); infinite retry after 3.5s
2025-09-28T01:13:32.685112+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/23cff307ec800043b83103deefc27a8f3a15fbda/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:13:38.738923+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/c551ef5a45f72a689cbf02877290115606019106/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:13:44.156435+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/03053dbfbac1af6159e11d20fc5806f84f3320a5/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:13:50.541270+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/9d8ee01d83c7466f28906d16ff62601de305ada8/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:13:54.967916+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/bdf7766a0c76b95a6b7e2a6293d9815cbc13bf0b/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:14:01.763452+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/382c536a9def85e77a4b227a955eaaea7ab42a19/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:14:05.410882+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/382c536a9def85e77a4b227a955eaaea7ab42a19/references?fields=citedPaper.year -> 429 (attempt 2); infinite retry after 3.5s
2025-09-28T01:14:11.285268+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/d1de5561f7d0285b57ff43e8cf4219e13f930c75/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:14:18.078460+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/d294d5246e0dd8ed8bd9ec9d24a01fd4ece4fb3c/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:14:23.450080+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/09ed4420f74e4736fc20374ac51a1627792468e8/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:14:27.731074+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/246ba747471461dd30f8d3491d711c54ca515eb3/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:14:32.051198+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/38b68ee830fa4b85a5411c8b8de36ba18da64d5a/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:14:40.532268+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/d042110c6dbe89ad726fd5c0393ee68c63ac5241/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:14:47.571372+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/7ca284aec1362bf46724f6f1402fb79f53ec8377/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:14:51.221198+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/7ca284aec1362bf46724f6f1402fb79f53ec8377/references?fields=citedPaper.year -> 429 (attempt 2); infinite retry after 3.5s
2025-09-28T01:14:57.191260+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/ae7d96a00803bcc991640281930da5f1a5ad3e71/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:15:04.163290+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/4c5ec9d621b9c71ca76b5e7fa4a12b98928cce69/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:15:09.985857+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/dea53250fadeb9a1dba6c06215dfef461bfdc1e6/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:15:18.684019+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/ca61e90da3eed4e7fe21cd3205a1ac69364b0f12/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:15:24.465858+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/f5a18c4abc363f69f29c07df64851c51c25d0fa5/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:15:28.569955+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/f5f31e0f0ceb1e65f9ee90c3d344f961db01e074/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:15:33.806320+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/f9d7850310edb5ff7899e51c9df747ff3ae23cc6/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:15:41.765205+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/6238d0720367c8dd653bd7381817af3ef236ba87/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:15:48.213694+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/be71e47e3247d60398d5a8dfa7d343dc4a7c27d1/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:15:52.736226+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/061b47266b181c6978081643b9ca8f06b1ab0233/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:16:00.895795+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/433d704797c2d6a9b3ae67ab94240e1d4aa2b060/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:16:06.224953+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/46af1c67d5310c2d713e1687dc99f7c4d965a834/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:16:14.908304+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/e345afce7bb0949d2b46482fea6e0395a176b5c5/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:16:19.680888+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/f94bb966c66249e68eda767d0654fe73b111a852/references?fields=citedPaper.year -> 429 (attempt 1); infinite retry after 3.5s
2025-09-28T01:16:23.585400+00:00 | GET https://api.semanticscholar.org/graph/v1/paper/f94bb966c66249e68eda767d0654fe73b111a852/references?fields=citedPaper.year -> 429 (attempt 2); infinite retry after 3.5s
